"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order"
4622,11728928,2953,7.64514105755181,0.283197171193726,23630400,0.005,10,0.1,"11728920",1
4927,11728946,241,4.55158281402805,0.19698482602352,6615000,0.005,10,0.1,"11728948",1
4918,11730196,2597,5.63678518625802,0.228792138754071,11645100,0.005,10,0.1,"11728966",1
4911,11728984,138,4.88309479028985,0.206921523523101,7929000,0.005,10,0.1,"11728980",1
4909,11728988,2672,5.77902952024322,0.232818505992134,12113100,0.005,10,0.1,"11728984",1
4907,11730356,77,5.79797078159428,0.233352401487215,12214800,0.005,10,0.1,"11728988",1
4937,11728750,2084,8.52850475402415,0.30572438926111,31097700,0.005,10,0.1,"11729138",1
4877,11728586,960,4.67358504027755,0.200666170922893,6715800,0.005,10,0.1,"11729188",1
4948,11728726,631,5.59342341561029,0.227558701164717,10585800,0.005,10,0.1,"11729212",1
4641,11728782,1790,4.59190007414708,0.198204613472195,6541200,0.005,10,0.1,"11729238",1
4925,11728862,398,2.69963560357541,0.136657245257701,1809000,0.005,10,0.1,"11729248",1
4782,11729598,3007,5.82278817178432,0.234051135666163,11440800,0.005,10,0.1,"11729538",1
4889,11729568,1746,6.27735371110705,0.246696324705455,14055300,0.005,10,0.1,"11729542",1
4888,11729580,784,7.51815646027974,0.279896205380406,709200,0.005,10,0.1,"11729568,11729566",2
4869,11729608,2089,5.97889429135495,0.238426032214239,12150000,0.005,10,0.1,"11729574",1
4887,11729638,4732,8.54983907217342,0.306259533905164,3637800,0.005,10,0.1,"11729580",2
4781,11729600,126,6.08494749760075,0.241378644294341,12771900,0.005,10,0.1,"11729598",1
4780,11729622,1344,6.48806082609604,0.25246402272029,14986800,0.005,10,0.1,"11729600",1
5002,11729624,234,5.43988154228544,0.223167870249837,9714600,0.005,10,0.1,"11729620",1
4779,11729628,153,7.93872016547489,0.290766523896602,35100,0.005,10,0.1,"11729622,11729624",2
4778,11730232,2806,9.02508937064993,0.318079087486124,5586300,0.005,10,0.1,"11729628",2
4886,11729644,1012,9.84674260441002,0.338083416777014,823500,0.005,10,0.1,"11729638",2
4885,11729708,3420,10.7480569643094,0.359459553593541,4896000,0.005,10,0.1,"11729644,11729646",2
4902,11729682,579,6.29302254038691,0.247127206561841,13993200,0.005,10,0.1,"11729670",1
4901,11729692,846,6.70444943837565,0.258329047652415,16385400,0.005,10,0.1,"11729682",1
4900,11729732,1281,7.95571876030245,0.291202201857856,1708200,0.005,10,0.1,"11729692,11729694",2
4884,11729718,402,11.0067303915043,0.365493694582412,139500,0.005,10,0.1,"11729708",2
4883,11729758,3588,11.4381635064431,0.375464144095989,4237200,0.005,10,0.1,"11729718",2
4972,11729734,184,5.54125936513784,0.226071072051306,10140300,0.005,10,0.1,"11729738",1
